Macroárea,Área de Estudo,Nome,Gênero,Bolsa PQ,Instituição,Estado da Instituição,Região da Instituição
Ciências da Vida,Medicina Veterinária,Thiago Henrique Annibale Vendramini,Homem,PQ-C,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Thomaz Lucia Júnior,Homem,PQ-1D,UFPEL,RS,Sul
Ciências da Vida,Medicina Veterinária,Ulisses de Pádua Pereira,Homem,PQ-C,UEL,PR,Sul
Ciências da Vida,Medicina Veterinária,Valdemiro Amaro da Silva Junior,Homem,PQ-1D,UFRPE,PE,Nordeste
Ciências da Vida,Medicina Veterinária,Valéria Dutra,Mulher,PQ-1A,UFMT,MT,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Valéria Marçal Felix de Lima,Mulher,PQ-2,UNESP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Valéria Régia Franco Sousa,Mulher,PQ-1D,UFMT,MT,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Vamilton Alvares Santarém,Homem,PQ-C,UNOESTE,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Veridiana Maria Brianezi Dignani de Moura,Mulher,PQ-2,UFG,GO,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Vicente José de Figueirêdo Freitas,Homem,PQ-1D,UECE,CE,Nordeste
Ciências da Vida,Medicina Veterinária,Vinícius Longo Ribeiro Vilela,Homem,PQ-B,IFPB,PB,Nordeste
Ciências da Vida,Medicina Veterinária,Vitor Salvador Picão Gonçalves,Homem,PQ-2,UnB,DF,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Vladimir Pinheiro do Nascimento,Homem,PQ-1D,UFRGS,RS,Sul
Ciências da Vida,Medicina Veterinária,Vânia Rita Elias Pinheiro Bittencourt,Mulher,PQ-1D,UFRRJ,RJ,Sudeste
Ciências da Vida,Medicina Veterinária,Walter Lilenbaum,Homem,PQ-1A,UFF,RJ,Sudeste
Ciências da Vida,Medicina Veterinária,Washington Luiz Assunção Pereira,Homem,PQ-C,UFRA,PA,Norte
Ciências da Vida,Medicina Veterinária,Welber Daniel Zanetti Lopes,Homem,PQ-1C,UFG,GO,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Weslen Fabricio Pires Teixeira,Homem,PQ-2,UFMG,MG,Sudeste
Ciências Humanas e Sociais Aplicadas,Arquitetura e Urbanismo,Akemi Ino,Mulher,PQ-SR,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Yara Peluso Cid,Mulher,PQ-C,UFRRJ,RJ,Sudeste
Ciências da Vida,Medicina Veterinária,Zilda Cristiani Gazim,Mulher,PQ-1D,UNIPAR,PR,Sul
Ciências da Vida,Medicina Veterinária,Álvaro Aguiar Coelho Teixeira,Homem,PQ-1D,UFRPE,PE,Nordeste
Ciências da Vida,Medicina Veterinária,Érica Azevedo Costa,Mulher,PQ-C,UFMG,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Éverton Kort Kamp Fernandes,Homem,PQ-2,UFG,GO,Centro-Oeste
Ciências da Vida,Microbiologia,Adriana Luchs,Mulher,PQ-2,IAL,SP,Sudeste
Ciências da Vida,Microbiologia,Adriano Brandelli,Homem,PQ-1A,UFRGS,RS,Sul
Ciências da Vida,Microbiologia,Afonso Luís Barth,Homem,PQ-1A,HCPA,RS,Sul
Ciências da Vida,Microbiologia,Agnes Marie Sa Figueiredo,Mulher,PQ-1B,UFRJ,RJ,Sudeste
Ciências da Vida,Microbiologia,Alane Beatriz Vermelho,Mulher,PQ-1B,UFRJ,RJ,Sudeste
Ciências da Vida,Microbiologia,Aldo Ângelo Moreira Lima,Homem,PQ-1A,UFC,CE,Nordeste
